,Class
V17,-0.32648106724371595
V14,-0.3025436958044028
V12,-0.26059292487722485
V10,-0.21688294364103206
V16,-0.19653894030401736
V3,-0.19296082706741602
V7,-0.18725659151430013
V18,-0.11148525388904133
V1,-0.10134729859508294
V9,-0.0977326860740807
V5,-0.09497429899144802
V6,-0.04364316069996494
Time,-0.012322570929245588
V24,-0.007220906715952582
V13,-0.004569778799461309
V15,-0.004223402267856675
V23,-0.0026851557402507824
V22,0.0008053175052983079
V25,0.0033077055972996613
V26,0.0044553975012833254
Amount,0.005631753006768552
V28,0.00953604091623609
V27,0.01757972818951348
V8,0.019875123914794384
V20,0.020090324196974638
V19,0.034783013036515056
V21,0.04041338061057565
V2,0.0912886503446179
V4,0.13344748623900718
V11,0.15487564474394433
